OKZ;OKZU;BEZEICHNUNG1;BEZEICHNUNG2;BEZEICHNUNG3;POSTADRESSE_STRAﬂE;POSTADRESS_HAUSNUMMER;POSTADRESSE_POSTFACH;POSTADRESSE_PLZ;POSTADRESSE_ORT;POSTADRESSE_BUNDESLAND;POSTADRESSE_LAND;POSTADRESSE_LƒNDERCODE;POSTADRESSE_ADRESSZEILE1;POSTADRESSE_ADRESSZEILE2;POSTADRESSE_ADRESSZEILE3;POSTADRESSE_ADRESSCODE;BESUCHSADRESSE_STRAﬂE;BESUCHSADRESSE_HAUSNUMMER;BESUCHSADRESSE_POSTFACH;BESUCHSADRESSE_PLZ;BESUCHSADRESSE_ORT;BESUCHSADRESSE_BUNDESLAND;BESUCHSADRESSE_LAND;BESUCHSADRESSE_LƒNDERCODE;BESUCHSADRESSE_ADRESSZEILE1;BESUCHSADRESSE_ADRESSZEILE2;BESUCHSADRESSE_ADRESSZEILE3;BESUCHSADRESSE_ADRESSCODE;TELEFONNUMMER;FAX;MAIL;HOMEPAGE;AMTSSTUNDEN;PARTEIENVERKEHR;ERSB_NR;DATENHERKUNFT;ERSTELLUNGSDATUM
L9;L9-M29;Magistratsabteilung 29;Br¸ckenbau und Grundbau;Dienststellenleitung;Wilhelminenstraﬂe;93;;1160;Wien;Wien;÷sterreich;AUT;Wilhelminenstraﬂe 93;1160 Wien; ;10258614; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 96915;+43 1 4000 9996480;post@ma29.wien.gv.at;; ;<p><strong>Amtsstunden:</strong><br>Montag bis F; ;L9;2022-07-06 14:17:43
L9;L9-M31;Magistratsabteilung 31;Wiener Wasser;Dienststellenleitung;Grabnergasse;4-6;;1060;Wien;Wien;÷sterreich;AUT;Grabnergasse 4-6;1060 Wien; ;10193246; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 59959 ;+43 1 59959 9931326;post@ma31.wien.gv.at;; ;<strong>Parteienverkehr:</strong><br>Montag bis ; ;L9;2022-07-06 14:17:43
L9;L9-M33;Magistratsabteilung 33;Wien leuchtet;Dienststellenleitung;Senngasse;2;;1110;Wien;Wien;÷sterreich;AUT;Senngasse 2;1110 Wien; ;10062810; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 33000;+43 1 4000 9933000;post@ma33.wien.gv.at;; ;<strong>Amtsstunden:</strong><br>Montag bis Frei; ;L9;2022-07-06 14:17:43
L9;L9-M34;Magistratsabteilung 34;Bau- und Geb‰udemanagement;Dienststellenleitung;Muthgasse;62;;1190;Wien;Wien;÷sterreich;AUT;Muthgasse 62;1190 Wien; ;10198707; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8034;+43 1 4000 998034;post@ma34.wien.gv.at;http://www.intern.magwien.gv.at/ma34/; ;<strong>Amtsstunden:</strong><br>Montag bis Frei; ;L9;2022-07-06 14:17:43
L9;L9-M35;Magistratsabteilung 35;Einwanderung und Staatsb¸rgerschaft;Dienststellenleitung;Dresdner Straﬂe;93;;1200;Wien;Wien;÷sterreich;AUT;Dresdner Straﬂe 93;1200 Wien; ;10471174; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 35351;+43 1 4000 9935010;post@ma35.wien.gv.at;https://www.intern.magwien.gv.at/ma35/; ;<p><strong>Informationen zur Kontaktaufnahme mit d; ;L9;2022-07-06 14:17:43
L9;L9-M36;Magistratsabteilung 36;Gewerbetechnik, Feuerpolizei und Veranstaltungen;Dienststellenleitung;Dresdner Straﬂe;73-75;;1200;Wien;Wien;÷sterreich;AUT;Dresdner Straﬂe 73-75;1200 Wien; ;; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 36110;+43 1 4000 9936110;post@ma36.wien.gv.at;; ;Bitte bringen Sie ihr Anliegen per Post, E-Mail, F; ;L9;2022-07-06 14:17:43
L9;L9-M37;Magistratsabteilung 37;Baupolizei;Dienststellenleitung;Dresdner Straﬂe;73-75;;1200;Wien;Wien;÷sterreich;AUT;Dresdner Straﬂe 73-75;1200 Wien; ;; ; ; ; ; ; ; ; ; ; ; ; ;;+43 1 4000 9937010;post@ma37.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-M39;Magistratsabteilung 39;Pr¸f-, Inspektions- und Zertifizierungsstelle;Dienststellenleitung;Rinnbˆckstraﬂe;15;;1110;Wien;Wien;÷sterreich;AUT;Rinnbˆckstraﬂe 15;1110 Wien; ;; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8039;+43 1 4000 998039;post@ma39.wien.gv.at;; ;Montag bis Donnerstag von 07:30 bis 15:30,  Freita; ;L9;2022-07-06 14:17:43
L9;L9-M40;Magistratsabteilung 40;Soziales, Sozial- und Gesundheitsrecht;Dienststellenleitung;Thomas-Klestil-Platz;8;;1030;Wien;Wien;÷sterreich;AUT;Thomas-Klestil-Platz 8;1030 Wien; ;10463662; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 40415;+43 1 4000 9940419;post@ma40.wien.gv.at;http://www.intern.magwien.gv.at/ma40/startseite.ht; ;; ;L9;2022-07-06 14:17:43
L9;L9-M41;Magistratsabteilung 41;Stadtvermessung;Dienststellenleitung;Muthgasse;62;;1190;Wien;Wien;÷sterreich;AUT;Muthgasse 62;1190 Wien; ;10198707; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 89115;+43 1 4000 998041;post@ma41.wien.gv.at;http://www.intern.magwien.gv.at/ma41/; ;<b>Ausk¸nfte und andere Anliegen nach vorheriger T; ;L9;2022-07-06 14:17:43
L9;L9-M42;Magistratsabteilung 42;Wiener Stadtg‰rten;Dienststellenleitung;Johannesgasse;35;;1030;Wien;Wien;÷sterreich;AUT;Johannesgasse 35;1030 Wien; ;10400118; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8042;+43 1 4000 9942089;post@ma42.wien.gv.at;; ;Amtsstunden:<br>Montag bis Freitag von 7.30 bis ; ;L9;2022-07-06 14:17:43
L9;L9-M44;Magistratsabteilung 44;B‰der;Dienststellenleitung;Reumannplatz;23;;1100;Wien;Wien;÷sterreich;AUT;Reumannplatz 23;1100 Wien; ;10232534; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 60112 44115;+43 1 60112 9944014;post@ma44.wien.gv.at;; ;<strong>Kundinnen- und Kundenzentrum:</strong><br>; ;L9;2022-07-06 14:17:43
L9;L9-M45;Magistratsabteilung 45;Wiener Gew‰sser;Dienststellenleitung;Am Brigittenauer Sporn;7;;1200;Wien;Wien;÷sterreich;AUT;Am Brigittenauer Sporn 7;1200 Wien; ;10151232; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 96520;+43 1 4000 96548;post@ma45.wien.gv.at;http://www.intern.magwien.gv.at/ma45; ;<strong>Parteienverkehr:</strong><br>Dienstag un; ;L9;2022-07-06 14:17:43
L9;L9-M46;Magistratsabteilung 46;Verkehrsorganisation und technische Verkehrsangele;Dienststellenleitung;Niederhofstraﬂe;21-23;;1120;Wien;Wien;÷sterreich;AUT;Niederhofstraﬂe 21-23;1120 Wien; ;10366818; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 92615;+43 1 4000 9992637;post@ma46.wien.gv.at;; ;<strong><p class="bde-stx-wrapper vieaccent">Bit; ;L9;2022-07-06 14:17:43
L9;L9-M48;Magistratsabteilung 48;Abfallwirtschaft, Straﬂenreinigung und Fuhrpark;Dienststellenleitung;Einsiedlergasse;2;;1050;Wien;Wien;÷sterreich;AUT;Einsiedlergasse 2;1050 Wien; ;10207330; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 0;+43 1 4000 99480037;post@ma48.wien.gv.at;; ;<strong>Amtsstunden:</strong><br> Montag bis Fre; ;L9;2022-07-06 14:17:43
L9;L9-M49;Magistratsabteilung 49;Klima, Forst- und Landwirtschaftsbetrieb;Dienststellenleitung;Triester Straﬂe;114;;1100;Wien;Wien;÷sterreich;AUT;Triester Straﬂe 114;1100 Wien; ;10084899; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 49000;+43 1 4000 9949099;post@ma49.wien.gv.at;; ;<b>Montag</b> bis <b>Freitag</b> von 8.00 bis 15.0; ;L9;2022-07-06 14:17:43
L9;L9-M05;Magistratsabteilung 5;Finanzwesen;Dienststellenleitung;Ebendorferstraﬂe;2;;1010;Wien;Wien;÷sterreich;AUT;Ebendorferstraﬂe 2;1010 Wien; ;10200308; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 86515;+43 1 4000 9986510;post@ma05.wien.gv.at;http://www.intern.magwien.gv.at/ma05/; ;<strong>Amtsstunden, Parteienverkehr:</strong><br>; ;L9;2022-07-06 14:17:43
L9;L9-M50;Magistratsabteilung 50;Wohnbaufˆrderung und Schlichtungsstelle f¸r wohnre;Dienststellenleitung;Muthgasse;62;;1190;Wien;Wien;÷sterreich;AUT;Muthgasse 62;1190 Wien; ;10198707; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8050;+43 1 4000 9974810;post@ma50.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-M51;Magistratsabteilung 51;Sport Wien;Dienststellenleitung;Meiereistraﬂe;7;;1020;Wien;Wien;÷sterreich;AUT;Meiereistraﬂe 7;1020 Wien; ;10239362; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 51151;+43 1 4000 9951151;post@ma51.wien.gv.at;; ;<b>Turnsaalansuchen:</b> <br>nach Terminvereinbaru; ;L9;2022-07-06 14:17:43
L9;L9-M53;Magistratsabteilung 53;Presse- und Informationsdienst;Dienststellenleitung;Lichtenfelsgasse;2;;1010;Wien;Wien;÷sterreich;AUT;Lichtenfelsgasse 2;1010 Wien; ;10200305; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 81015;+43 1 4000 9981015;post@ma53.wien.gv.at;http://www.intern.magwien.gv.at/web/m53/startseite; ;Montag bis Freitag von 8.00 bis 16.00 Uhr<br><br>; ;L9;2022-07-06 14:17:43
L9;L9-M54;Magistratsabteilung 54;Zentraler Einkauf und Logistik;Dienststellenleitung;Simone-de-Beauvoir-Platz;6;;1220;Wien;Wien;÷sterreich;AUT;Simone-de-Beauvoir-Platz 6;1220 Wien; ;25750673; ; ; ; ; ; ; ; ; ; ; ; ;;+43 1 4000 9954100;post@ma54.wien.gv.at;http://www.intern.magwien.gv.at/ma54/index.htm; ;; ;L9;2022-07-06 14:17:43
L9;L9-M56;Magistratsabteilung 56;Schulen;Dienststellenleitung;Mollardgasse;87;;1060;Wien;Wien;÷sterreich;AUT;Mollardgasse 87;1060 Wien; ;10193343; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 95010;+43 1 59916 9995010;post@ma56.wien.gv.at;; ;Montag bis Freitag von 7.30 bis 15.30 Uhr<br><br>; ;L9;2022-07-06 14:17:43
L9;L9-M57;Magistratsabteilung 57;Frauenservice Wien;Dienststellenleitung;Friedrich-Schmidt-Platz;3;;1080;Wien;Wien;÷sterreich;AUT;Friedrich-Schmidt-Platz 3;1080 Wien; ;10071855; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 83515;+43 1 4000 9983511;frauen@ma57.wien.gv.at;; ;Montag - Donnerstag  7.30 Uhr - 16.30 Uhr </p><p; ;L9;2022-07-06 14:17:43
L9;L9-M58;Magistratsabteilung 58;Wasserrecht;Dienststellenleitung;Dresdner Straﬂe;73-75;;1200;Wien;Wien;÷sterreich;AUT;Dresdner Straﬂe 73-75;1200 Wien; ;10191463; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 96815;+43 1 4000 9996810;post@ma58.wien.gv.at;http://www.intern.magwien.gv.at/ma58/; ;<strong>Parteienverkehr:</strong><br>; ;L9;2022-07-06 14:17:43
L9;L9-M59;Magistratsabteilung 59;Marktamt;Dienststellenleitung;Spittelauer L‰nde;45;;1090;Wien;Wien;÷sterreich;AUT;Spittelauer L‰nde 45;1090 Wien; ;10251711; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 59210;+43 1 4000 9959210;post@ma59.wien.gv.at;http://www.marktamt.wien.at; ;Montag bis Freitag von 7.30 bis 15.30 Uhr, telefon; ;L9;2022-07-06 14:17:43
L9;L9-M06;Magistratsabteilung 6;Rechnungs- und Abgabenwesen;Abteilungsleitung;Ebendorferstraﬂe;2;;1010;Wien;Wien;÷sterreich;AUT;Ebendorferstraﬂe 2;1010 Wien; ;10200308; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 86019;+43 1 4000 9986010;post@ma06.wien.gv.at;http://www.intern.magwien.gv.at/ma06; ;<span style="color:#FF0000"> Kontaktaufnahme per E; ;L9;2022-07-06 14:17:43
L9;L9-M60;Magistratsabteilung 60;Veterin‰ramt und Tierschutz;Dienststellenleitung;Thomas-Klestil-Platz;4;;1030;Wien;Wien;÷sterreich;AUT;Thomas-Klestil-Platz 4;1030 Wien; ;25704031; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8060;+43 1 4000 9997619;post@ma60.wien.gv.at;; ;<strong>Parteienverkehr (amtstier‰rztliche Sprechs; ;L9;2022-07-06 14:17:43
L9;L9-M62;Magistratsabteilung 62;Wahlen und verschiedene Rechtsangelegenheiten;;Lerchenfelder Straﬂe;4;;1082;Wien;Wien;÷sterreich;AUT;Lerchenfelder Straﬂe 4;1082 Wien; ;10197001; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 89424;+43 1 4000 9989400;post@ma62.wien.gv.at;https://www.intern.magwien.gv.at/web/m62; ;<strong>Kundinnen- und Kundenverkehrszeiten (Parte; ;L9;2022-07-06 14:17:43
L9;L9-M63;Magistratsabteilung 63;Gewerberecht, Datenschutz und Personenstand;;Wipplingerstraﬂe;6-8;;1010;Wien;Wien;÷sterreich;AUT;Wipplingerstraﬂe 6-8;1010 Wien; ;10052997; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 97097;+43 1 4000 9997115;post@ma63.wien.gv.at;https://www.intern.magwien.gv.at/web/m63; ;<p>Derzeit findet der KundInnenverkehr in der ; ;L9;2022-07-06 14:17:43
L9;L9-M64;Magistratsabteilung 64;Bau-, Energie-, Eisenbahn- und Luftfahrtrecht;Dienststellenleitung;Lerchenfelder Straﬂe;4;;1080;Wien;Wien;÷sterreich;AUT;Lerchenfelder Straﬂe 4;1080 Wien; ;10197001; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 89919;+43 1 4000 9989910;post@ma64.wien.gv.at;; ;<br><B>Amtsstunden:</B><br>Montag bis Freitag ; ;L9;2022-07-06 14:17:43
L9;L9-M65;Magistratsabteilung 65;Rechtliche Verkehrsangelegenheiten;Dienststellenleitung;Ungargasse;33;;1030;Wien;Wien;÷sterreich;AUT;Ungargasse 33;1030 Wien; ;10061136; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 3830;+43 1 79514 9938319;post@ma65.wien.gv.at;; ;<strong>Parteienverkehr:</strong><br>Montag bis ; ;L9;2022-07-06 14:17:43
L9;L9-M67;Magistratsabteilung 67;Parkraum¸berwachung;Dienststellenleitung;Dresdner Straﬂe;81-85;;1200;Wien;Wien;÷sterreich;AUT;Dresdner Straﬂe 81-85;1200 Wien; ;10387398; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 6700;+43 1 4000 9967010;post@ma67.wien.gv.at;; ;<strong>KundInnenverkehrszeiten telefonisch: </str; ;L9;2022-07-06 14:17:43
L9;L9-M68;Magistratsabteilung 68;Feuerwehr und Katastrophenschutz;Dienststellenleitung;Am Hof;9-10;;1010;Wien;Wien;÷sterreich;AUT;Am Hof 9-10;1010 Wien; ;; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 53199 0;+43 1 53199 51209;post@ma68.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-M69;Magistratsabteilung 69;Immobilienmanagement;Dienststellenleitung;Lerchenfelder Straﬂe;4;;1080;Wien;Wien;÷sterreich;AUT;Lerchenfelder Straﬂe 4;1080 Wien; ;10197001; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8069;+43 1 4000 9969600;post@ma69.wien.gv.at;http://www.intern.magwien.gv.at/ma69/; ;<strong>Bitte vereinbaren Sie f¸r persˆnliche Bera; ;L9;2022-07-06 14:17:43
L9;L9-M07;Magistratsabteilung 7;Kultur;Dienststellenleitung;Friedrich-Schmidt-Platz;5;;1080;Wien;Wien;÷sterreich;AUT;Friedrich-Schmidt-Platz 5;1080 Wien; ;10192639; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8007;+43 1 4000 998007;post@ma07.wien.gv.at;http://www.kultur.wien.at; ;<b>Amtsstunden:</b><br>Montag bis Freitag von 9.; ;L9;2022-07-06 14:17:43
L9;L9-M70;Magistratsabteilung 70;Berufsrettung Wien;Dienststellenleitung;Radetzkystraﬂe;1;;1030;Wien;Wien;÷sterreich;AUT;Radetzkystraﬂe 1;1030 Wien; ;10200252; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 71119 0;;post@ma70.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-M08;Magistratsabteilung 8;Wiener Stadt- und Landesarchiv;Dienststellenleitung;Guglgasse;14;;1110;Wien;Wien;÷sterreich;AUT;Guglgasse 14;1110 Wien; ;10392849; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 84808;+43 1 4000 84809;post@ma08.wien.gv.at;http://www.intern.magwien.gv.at/ma08/index.html; ;<strong>Anfragen</strong><br>Telefonische Ausk¸n; ;L9;2022-07-06 14:17:43
L9;L9-MDBD;Magistratsdirektion;Gesch‰ftsbereich BAUTEN UND TECHNIK;;Lichtenfelsgasse;2;;1010;Wien;Wien;÷sterreich;AUT;Lichtenfelsgasse 2;1010 Wien; ;10200305; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 82700;+43 1 4000 9982700;post@md-bd.wien.gv.at;https://www.intern.magwien.gv.at/web/mbd/startseit; ;; ;L9;2022-07-06 14:17:43
L9;L9-MD-OS;Magistratsdirektion;Gesch‰ftsbereich ORGANISATION UND SICHERHEIT;;Ebendorferstraﬂe;4;;1010;Wien;Wien;÷sterreich;AUT;Ebendorferstraﬂe 4;1010 Wien; ;10054118; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 75101;;post@md-os.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-MD-R;Magistratsdirektion;Gesch‰ftsbereich RECHT (MDR);;Rathaus;;;1010;Wien;Wien;÷sterreich;AUT;Rathaus ;1010 Wien; ;; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 82315;+43 1 4000 9982310;post@md-r.wien.gv.at;http://www.intern.magwien.gv.at/mdr; ;÷ffnungszeiten Montag bis Freitag: 7:30 - 15:30 Uh; ;L9;2022-07-06 14:17:43
L9;L9-MD-K;Magistratsdirektion;Klimaschutzkoordination;;Rathaus;1;;1010;Wien;Wien;÷sterreich;AUT;Rathaus 1;1010 Wien; ;10471586; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 75083;+43 1 4000 75089;post@md-kli.wien.gv.at;http://www.intern.magwien.gv.at/mdk/; ;; ;L9;2022-07-06 14:17:43
L9;L9-MD-P;Magistratsdirektion;Pr‰sidialabteilung;;Rathaus;;;1010;Wien;Wien;÷sterreich;AUT;Rathaus ;1010 Wien; ;10471586; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 82019;+43 1 4000 9982010;post@md-p.wien.gv.at;; ;÷ffnungszeiten Montag bis Freitag: 7:30 - 15:30 Uh; ;L9;2022-07-06 14:17:43
L9;L9-SKO;Magistratsdirektion;Strategische Kommunikation;;Friedrich-Schmidt-Platz;3;;1080;Wien;Wien;÷sterreich;AUT;Friedrich-Schmidt-Platz 3;1080 Wien; ;10071855; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 83295;+43 1 4000 9983295;post@msk.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-MD-B;Magistratsdirektor;B¸ro MD;;Friedrich-Schmidt-Platz;1;;1010;Wien;Wien;÷sterreich;AUT;Friedrich-Schmidt-Platz 1;1010 Wien; ;10200304; ; ; ; ; ; ; ; ; ; ; ; ;;+43 1 4000 9982120;post@mdgb.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-KVP;÷VP-Klub;;;Ebendorferstraﬂe;4;;1010;Wien;Wien;÷sterreich;AUT;Ebendorferstraﬂe 4;1010 Wien; ;10054118; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 81955;+43 1 4000 9981960;klub@oevp-wien.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-KAV GZD;Sozialmedizinisches Zentrum;Ost - Donauspital und Geriatriezentrum Donaustadt;;Langobardenstraﬂe;122;;1220;Wien;Wien;÷sterreich;AUT;Langobardenstraﬂe 122;1220 Wien; ;10365619; ; ; ; ; ; ; ; ; ; ; ; ;;;dsp.kzl@wienkav.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-GZS;Sozialmedizinisches Zentrum;S¸d - Kaiser Franz- Josef-Spital und Geriatriezent;;Kundratstraﬂe;3;;1100;Wien;Wien;÷sterreich;AUT;Kundratstraﬂe 3;1100 Wien; ;10250742; ; ; ; ; ; ; ; ; ; ; ; ;;;kfj.post@wienkav.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-KSP;SP÷-Klub;;;Rathaus;;;1010;Wien;Wien;÷sterreich;AUT;Rathaus ;1010 Wien; ;10471586; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 81925;+43 1 4000 9981945;rathaus.klub@spw.at;http://www.rathausklub.spoe.at/; ;; ;L9;2022-07-06 14:17:43
L9;L9-MKA;Stadtrechnungshof;;;Landesgerichtsstraﬂe;10;;1082;Wien;Wien;÷sterreich;AUT;Landesgerichtsstraﬂe 10;1082 Wien; ;10200324; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 82819;+43 1 4000 9982810;post@stadtrechnungshof.wien.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-UBSB;Unabh‰ngiger Bedienstetenschutzbeauftragter;;Dienststellenleitung;Muthgasse;62;;1190;Wien;Wien;÷sterreich;AUT;Muthgasse 62;1190 Wien; ;10198707; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 38950;+43 1 4000 9938960;post@bsb.wien.gv.at;https://www.intern.magwien.gv.at/bedienstetenschut; ;; ;L9;2022-07-06 14:17:43
L9;L9-WKN;Wien Kanal (WKN);;Dienststellenleitung;Groﬂmarktstraﬂe;5;;1230;Wien;Wien;÷sterreich;AUT;Groﬂmarktstraﬂe 5;1230 Wien; ;25770136; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8030;+43 1 4000 9930030;post@wkn.wien.gv.at;; ;<p><b>INFO- UND SERVICETELEFONE</b><br><br><ta; ;L9;2022-07-06 14:17:43
L9;L9-KAV;Wiener Gesundheitsverbund;;Dienststellenleitung;Thomas-Klestil-Platz;7;;1030;Wien;Wien;÷sterreich;AUT;Thomas-Klestil-Platz 7;1030 Wien; ;10463658; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 40409 0;+43 1 40409 9970380;ged@wienkav.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-KJA;Wiener Kinder- und Jugendanwaltschaft;;;Alserbachstraﬂe;18;;1090;Wien;Wien;÷sterreich;AUT;Alserbachstraﬂe 18;1090 Wien; ;10188401; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 7077000 ;+43 1 4000 9985905;post@jugendanwalt.wien.gv.at;; ;Montag bis Freitag 9.00 bis 16.00 Uhr<p>; ;L9;2022-07-06 14:17:43
L9;L9-WPA;Wiener Pflege-, Patientinnen- und Patientenanwalts;;;Ramperstorffergasse;67;;1050;Wien;Wien;÷sterreich;AUT;Ramperstorffergasse 67;1050 Wien; ;10207809; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 5871204 ;+43 1 58636 99;post@wpa.wien.gv.at;; ;<strong>÷ffnungszeiten:</strong><br>Montag bis F; ;L9;2022-07-06 14:17:43
L9;L9-TOW;Wiener Tierschutzombudsstelle;;;Muthgasse;62;;1190;Wien;Wien;÷sterreich;AUT;Muthgasse 62;1190 Wien; ;10198707; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 3180076 75079;;post@tow-wien.at;; ;Montag bis Donnerstag von 8.30 bis 15.30 Uhr<br>; ;L9;2022-07-06 14:17:43
L9;L9-WUA;Wiener Umweltanwaltschaft;;;Muthgasse;62;;1190;Wien;Wien;÷sterreich;AUT;Muthgasse 62;1190 Wien; ;10198708; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 37979 0;+43 1 37979 9988989;post@wua.wien.gv.at;; ;Derzeit kein persˆnlicher Kund*innenverkehr. Konta; ;L9;2022-07-06 14:17:43

